 16:49:59 up  1:39,  3 users,  load average: 0,32, 0,23, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,25, 0,22, 0,23
 16:50:15 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:16 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:17 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:18 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:19 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,31, 0,23, 0,23
 16:50:20 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:20 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:39,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:21 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
 16:50:22 up  1:40,  3 users,  load average: 0,44, 0,26, 0,24
